Action ID,Active,Orientation,Start Time,End Time,Last Time
G1A2: nod head,Active,Forward,2021-06-22 19:27:47.404930,2021-06-22 19:27:50.002358,0:00:02.597428
G1A2: nod head,Active,Forward,2021-06-22 19:28:03.580051,2021-06-22 19:28:07.535036,0:00:03.954985
G1A2: nod head,Active,Backward,2021-06-22 19:28:14.065863,2021-06-22 19:28:17.413954,0:00:03.348091
G1A2: nod head,Passive,Forward,2021-06-22 19:28:24.293906,2021-06-22 19:28:27.644553,0:00:03.350647
G1A2: nod head,Passive,Backward,2021-06-22 19:28:33.144968,2021-06-22 19:28:36.816868,0:00:03.671900
G2A2: bow,Active,Forward,2021-06-22 19:28:47.016600,2021-06-22 19:28:56.455952,0:00:09.439352
G2A2: bow,Active,Forward,2021-06-22 19:29:01.077473,2021-06-22 19:29:04.321838,0:00:03.244365
G2A2: bow,Active,Backward,2021-06-22 19:29:07.279958,2021-06-22 19:29:10.581327,0:00:03.301369
G2A2: bow,Passive,Forward,2021-06-22 19:29:15.413066,2021-06-22 19:29:18.877338,0:00:03.464272
G2A2: bow,Passive,Backward,2021-06-22 19:29:21.787739,2021-06-22 19:29:25.086649,0:00:03.298910
G3A2: shake hands,Active,Forward,2021-06-22 19:29:31.004345,2021-06-22 19:29:34.158052,0:00:03.153707
G3A2: shake hands,Active,Backward,2021-06-22 19:29:37.295230,2021-06-22 19:29:40.501454,0:00:03.206224
G3A2: shake hands,Passive,Forward,2021-06-22 19:29:44.948033,2021-06-22 19:29:48.193443,0:00:03.245410
G3A2: shake hands,Passive,Backward,2021-06-22 19:29:50.257461,2021-06-22 19:29:53.263960,0:00:03.006499
G4A2: rock-paper-scissors,Active,Forward,2021-06-22 19:30:30.619050,2021-06-22 19:30:35.912780,0:00:05.293730
G4A2: rock-paper-scissors,Active,Forward,2021-06-22 19:30:40.810627,2021-06-22 19:30:46.153820,0:00:05.343193
G4A2: rock-paper-scissors,Active,Backward,2021-06-22 19:30:56.274249,2021-06-22 19:31:00.757708,0:00:04.483459
G4A2: rock-paper-scissors,Passive,Forward,2021-06-22 19:31:05.887238,2021-06-22 19:31:10.943467,0:00:05.056229
G4A2: rock-paper-scissors,Passive,Backward,2021-06-22 19:31:18.819679,2021-06-22 19:31:24.367341,0:00:05.547662
G5A2: touch elbows,Active,Forward,2021-06-22 19:31:40.575586,2021-06-22 19:31:45.599534,0:00:05.023948
G5A2: touch elbows,Active,Backward,2021-06-22 19:31:49.197222,2021-06-22 19:31:52.007053,0:00:02.809831
G5A2: touch elbows,Passive,Forward,2021-06-22 19:31:56.505747,2021-06-22 19:31:59.028313,0:00:02.522566
G5A2: touch elbows,Passive,Backward,2021-06-22 19:32:01.548727,2021-06-22 19:32:03.861344,0:00:02.312617
G6A2: wave hand,Active,Forward,2021-06-22 19:32:10.781520,2021-06-22 19:32:13.608866,0:00:02.827346
G6A2: wave hand,Active,Backward,2021-06-22 19:32:16.370430,2021-06-22 19:32:18.826463,0:00:02.456033
G6A2: wave hand,Passive,Forward,2021-06-22 19:32:23.226697,2021-06-22 19:32:25.815772,0:00:02.589075
G6A2: wave hand,Passive,Backward,2021-06-22 19:32:27.699785,2021-06-22 19:32:30.675063,0:00:02.975278
G7A2: fist bumping,Active,Forward,2021-06-22 19:32:50.738492,2021-06-22 19:32:53.228080,0:00:02.489588
G7A2: fist bumping,Active,Backward,2021-06-22 19:32:55.737704,2021-06-22 19:32:58.202249,0:00:02.464545
G7A2: fist bumping,Passive,Forward,2021-06-22 19:33:02.037470,2021-06-22 19:33:04.358400,0:00:02.320930
G7A2: fist bumping,Passive,Backward,2021-06-22 19:33:06.389069,2021-06-22 19:33:08.619358,0:00:02.230289
G8A2: pat on back,Active,Forward,2021-06-22 19:33:30.355169,2021-06-22 19:33:32.935818,0:00:02.580649
G8A2: pat on back,Active,Forward,2021-06-22 19:33:41.191824,2021-06-22 19:33:44.621577,0:00:03.429753
G8A2: pat on back,Active,Backward,2021-06-22 19:33:51.201087,2021-06-22 19:33:54.674787,0:00:03.473700
G8A2: pat on back,Passive,Forward,2021-06-22 19:33:59.967801,2021-06-22 19:34:02.688766,0:00:02.720965
G8A2: pat on back,Passive,Backward,2021-06-22 19:34:05.081556,2021-06-22 19:34:08.073166,0:00:02.991610
G9A2: giving object,Active,Forward,2021-06-22 19:34:36.605004,2021-06-22 19:34:39.194859,0:00:02.589855
G9A2: giving object,Active,Backward,2021-06-22 19:34:42.736152,2021-06-22 19:34:45.123641,0:00:02.387489
G9A2: giving object,Passive,Forward,2021-06-22 19:34:49.404327,2021-06-22 19:34:51.849625,0:00:02.445298
G9A2: giving object,Passive,Backward,2021-06-22 19:34:55.295963,2021-06-22 19:34:58.025706,0:00:02.729743
G10A2: exchange object,Active,Forward,2021-06-22 19:35:32.244553,2021-06-22 19:35:35.120808,0:00:02.876255
G10A2: exchange object,Active,Backward,2021-06-22 19:35:37.382476,2021-06-22 19:35:40.358219,0:00:02.975743
G10A2: exchange object,Passive,Forward,2021-06-22 19:35:44.126672,2021-06-22 19:35:46.994828,0:00:02.868156
G10A2: exchange object,Passive,Backward,2021-06-22 19:35:48.621094,2021-06-22 19:35:51.781155,0:00:03.160061
G11A2: clapping; hushing,Active,Forward,2021-06-22 19:36:09.783778,2021-06-22 19:36:12.719192,0:00:02.935414
G11A2: clapping; hushing,Active,Backward,2021-06-22 19:36:16.528656,2021-06-22 19:36:19.569643,0:00:03.040987
G11A2: clapping; hushing,Passive,Forward,2021-06-22 19:36:24.239780,2021-06-22 19:36:26.951476,0:00:02.711696
G11A2: clapping; hushing,Passive,Backward,2021-06-22 19:36:29.336483,2021-06-22 19:36:31.892461,0:00:02.555978
G12A2: drink water; brush teeth,Active,Forward,2021-06-22 19:37:08.937262,2021-06-22 19:37:13.310900,0:00:04.373638
G12A2: drink water; brush teeth,Active,Backward,2021-06-22 19:37:22.954271,2021-06-22 19:37:26.764565,0:00:03.810294
G12A2: drink water; brush teeth,Passive,Forward,2021-06-22 19:37:33.024270,2021-06-22 19:37:35.901267,0:00:02.876997
G12A2: drink water; brush teeth,Passive,Backward,2021-06-22 19:37:40.259996,2021-06-22 19:37:43.104846,0:00:02.844850
G13A2: stand up; jump up,Active,Forward,2021-06-22 19:38:18.298293,2021-06-22 19:38:20.689880,0:00:02.391587
G13A2: stand up; jump up,Active,Backward,2021-06-22 19:38:31.683332,2021-06-22 19:38:34.448323,0:00:02.764991
G13A2: stand up; jump up,Passive,Forward,2021-06-22 19:38:41.503975,2021-06-22 19:38:44.183402,0:00:02.679427
