Action ID,Active,Orientation,Start Time,End Time,Last Time
G1A2: nod head,Active,Forward,2021-05-19 16:31:35.079392,2021-05-19 16:31:39.724395,0:00:04.645003
G1A2: nod head,Active,Backward,2021-05-19 16:31:51.632446,2021-05-19 16:31:54.279621,0:00:02.647175
G1A2: nod head,Passive,Forward,2021-05-19 16:32:01.811177,2021-05-19 16:32:04.629721,0:00:02.818544
G1A2: nod head,Passive,Backward,2021-05-19 16:32:10.120626,2021-05-19 16:32:12.996751,0:00:02.876125
G2A2: bow,Active,Forward,2021-05-19 16:32:30.083192,2021-05-19 16:32:33.746113,0:00:03.662921
G2A2: bow,Active,Backward,2021-05-19 16:32:40.990277,2021-05-19 16:32:44.284915,0:00:03.294638
G2A2: bow,Passive,Forward,2021-05-19 16:32:52.906336,2021-05-19 16:32:56.799486,0:00:03.893150
G2A2: bow,Passive,Backward,2021-05-19 16:33:01.889071,2021-05-19 16:33:05.150968,0:00:03.261897
G3A2: shake hands,Active,Forward,2021-05-19 16:34:03.539685,2021-05-19 16:34:07.043441,0:00:03.503756
G3A2: shake hands,Active,Backward,2021-05-19 16:34:14.273352,2021-05-19 16:34:17.141572,0:00:02.868220
G3A2: shake hands,Passive,Forward,2021-05-19 16:34:26.451939,2021-05-19 16:34:30.033169,0:00:03.581230
G3A2: shake hands,Passive,Backward,2021-05-19 16:34:36.015808,2021-05-19 16:34:38.810764,0:00:02.794956
G4A2: rock-paper-scissors,Active,Forward,2021-05-19 16:34:57.895193,2021-05-19 16:35:02.575335,0:00:04.680142
G4A2: rock-paper-scissors,Active,Backward,2021-05-19 16:35:44.870024,2021-05-19 16:35:50.269922,0:00:05.399898
G4A2: rock-paper-scissors,Passive,Forward,2021-05-19 16:35:59.966414,2021-05-19 16:36:05.387237,0:00:05.420823
G4A2: rock-paper-scissors,Passive,Forward,2021-05-19 16:36:11.838085,2021-05-19 16:36:17.098860,0:00:05.260775
G4A2: rock-paper-scissors,Passive,Backward,2021-05-19 16:36:23.137744,2021-05-19 16:36:28.645122,0:00:05.507378
G5A2: touch elbows,Active,Forward,2021-05-19 16:36:39.704482,2021-05-19 16:36:42.112541,0:00:02.408059
G5A2: touch elbows,Active,Backward,2021-05-19 16:36:48.226506,2021-05-19 16:36:50.406213,0:00:02.179707
G5A2: touch elbows,Passive,Forward,2021-05-19 16:36:58.486763,2021-05-19 16:37:00.903858,0:00:02.417095
G5A2: touch elbows,Passive,Backward,2021-05-19 16:37:08.689372,2021-05-19 16:37:10.271773,0:00:01.582401
G6A2: wave hand,Active,Forward,2021-05-19 16:37:20.525694,2021-05-19 16:37:22.836526,0:00:02.310832
G6A2: wave hand,Active,Backward,2021-05-19 16:37:29.474931,2021-05-19 16:37:32.359645,0:00:02.884714
G6A2: wave hand,Passive,Forward,2021-05-19 16:37:40.333762,2021-05-19 16:37:43.144364,0:00:02.810602
G6A2: wave hand,Passive,Backward,2021-05-19 16:37:49.208993,2021-05-19 16:37:51.339500,0:00:02.130507
G7A2: fist bumping,Active,Forward,2021-05-19 16:38:31.319196,2021-05-19 16:38:34.851717,0:00:03.532521
G7A2: fist bumping,Active,Forward,2021-05-19 16:38:46.741967,2021-05-19 16:38:49.267506,0:00:02.525539
