Action ID,Active,Orientation,Start Time,End Time,Last Time
G1A2: nod head,Active,Forward,2021-05-25 14:11:50.707972,2021-05-25 14:11:54.747972,0:00:04.040000
G1A2: nod head,Active,Backward,2021-05-25 14:12:06.575484,2021-05-25 14:12:09.370184,0:00:02.794700
G1A2: nod head,Passive,Forward,2021-05-25 14:12:19.218836,2021-05-25 14:12:22.291436,0:00:03.072600
G1A2: nod head,Passive,Backward,2021-05-25 14:12:26.635501,2021-05-25 14:12:29.224720,0:00:02.589219
G2A2: bow,Active,Forward,2021-05-25 14:13:10.122892,2021-05-25 14:13:13.864801,0:00:03.741909
G2A2: bow,Active,Backward,2021-05-25 14:13:18.994989,2021-05-25 14:13:22.404551,0:00:03.409562
G2A2: bow,Passive,Forward,2021-05-25 14:13:32.510322,2021-05-25 14:13:36.147319,0:00:03.636997
G2A2: bow,Passive,Backward,2021-05-25 14:13:40.726170,2021-05-25 14:13:44.610536,0:00:03.884366
G3A2: shake hands,Active,Forward,2021-05-25 14:14:06.664897,2021-05-25 14:14:09.393546,0:00:02.728649
G3A2: shake hands,Active,Backward,2021-05-25 14:14:14.954756,2021-05-25 14:14:18.182750,0:00:03.227994
G3A2: shake hands,Passive,Forward,2021-05-25 14:14:26.627623,2021-05-25 14:14:29.925867,0:00:03.298244
G3A2: shake hands,Passive,Backward,2021-05-25 14:14:34.787008,2021-05-25 14:14:38.080270,0:00:03.293262
G4A2: rock-paper-scissors,Active,Forward,2021-05-25 14:14:53.556023,2021-05-25 14:14:58.092832,0:00:04.536809
G4A2: rock-paper-scissors,Active,Backward,2021-05-25 14:15:08.712776,2021-05-25 14:15:13.084588,0:00:04.371812
G4A2: rock-paper-scissors,Passive,Forward,2021-05-25 14:15:20.216562,2021-05-25 14:15:25.251701,0:00:05.035139
G4A2: rock-paper-scissors,Passive,Backward,2021-05-25 14:15:30.362752,2021-05-25 14:15:34.888903,0:00:04.526151
G5A2: touch elbows,Active,Forward,2021-05-25 14:15:49.448718,2021-05-25 14:15:52.495846,0:00:03.047128
G5A2: touch elbows,Active,Backward,2021-05-25 14:15:57.541146,2021-05-25 14:16:01.489200,0:00:03.948054
G5A2: touch elbows,Passive,Forward,2021-05-25 14:16:12.157489,2021-05-25 14:16:15.731851,0:00:03.574362
G5A2: touch elbows,Passive,Backward,2021-05-25 14:16:19.359261,2021-05-25 14:16:22.785504,0:00:03.426243
G6A2: wave hand,Active,Forward,2021-05-25 14:16:34.788205,2021-05-25 14:16:37.444536,0:00:02.656331
G6A2: wave hand,Active,Backward,2021-05-25 14:16:44.460144,2021-05-25 14:16:47.394260,0:00:02.934116
G6A2: wave hand,Passive,Forward,2021-05-25 14:16:57.646820,2021-05-25 14:17:00.425161,0:00:02.778341
G6A2: wave hand,Passive,Backward,2021-05-25 14:17:04.670475,2021-05-25 14:17:07.611467,0:00:02.940992
G7A2: fist bumping,Active,Forward,2021-05-25 14:17:19.144067,2021-05-25 14:17:22.118546,0:00:02.974479
G7A2: fist bumping,Active,Backward,2021-05-25 14:17:29.289640,2021-05-25 14:17:32.239631,0:00:02.949991
G7A2: fist bumping,Passive,Forward,2021-05-25 14:17:38.381650,2021-05-25 14:17:42.038466,0:00:03.656816
G7A2: fist bumping,Passive,Backward,2021-05-25 14:17:45.440025,2021-05-25 14:17:48.439327,0:00:02.999302
G8A2: pat on back,Active,Forward,2021-05-25 14:18:13.762356,2021-05-25 14:18:16.614161,0:00:02.851805
G8A2: pat on back,Active,Backward,2021-05-25 14:18:22.924581,2021-05-25 14:18:25.834420,0:00:02.909839
G8A2: pat on back,Passive,Forward,2021-05-25 14:18:34.839084,2021-05-25 14:18:37.912801,0:00:03.073717
G8A2: pat on back,Passive,Backward,2021-05-25 14:18:43.008654,2021-05-25 14:18:46.916466,0:00:03.907812
G9A2: giving object,Active,Forward,2021-05-25 14:19:14.295624,2021-05-25 14:19:17.998934,0:00:03.703310
G9A2: giving object,Active,Backward,2021-05-25 14:19:24.545468,2021-05-25 14:19:27.310465,0:00:02.764997
G9A2: giving object,Passive,Forward,2021-05-25 14:19:33.059923,2021-05-25 14:19:36.265095,0:00:03.205172
G9A2: giving object,Passive,Backward,2021-05-25 14:19:41.853262,2021-05-25 14:19:44.582067,0:00:02.728805
G10A2: exchange object,Active,Forward,2021-05-25 14:20:04.511379,2021-05-25 14:20:08.427699,0:00:03.916320
G10A2: exchange object,Active,Backward,2021-05-25 14:20:13.046647,2021-05-25 14:20:16.872387,0:00:03.825740
G10A2: exchange object,Passive,Forward,2021-05-25 14:20:29.514955,2021-05-25 14:20:33.635572,0:00:04.120617
G10A2: exchange object,Passive,Backward,2021-05-25 14:20:37.461754,2021-05-25 14:20:41.435623,0:00:03.973869
G11A2: clapping; hushing,Active,Forward,2021-05-25 14:21:04.514405,2021-05-25 14:21:07.251801,0:00:02.737396
G11A2: clapping; hushing,Active,Backward,2021-05-25 14:21:12.286707,2021-05-25 14:21:14.920841,0:00:02.634134
G11A2: clapping; hushing,Passive,Forward,2021-05-25 14:21:23.555197,2021-05-25 14:21:26.325382,0:00:02.770185
G11A2: clapping; hushing,Passive,Backward,2021-05-25 14:21:31.488362,2021-05-25 14:21:34.683367,0:00:03.195005
G12A2: drink water; brush teeth,Active,Forward,2021-05-25 14:22:08.549325,2021-05-25 14:22:12.438956,0:00:03.889631
G12A2: drink water; brush teeth,Active,Forward,2021-05-25 14:22:36.085803,2021-05-25 14:22:40.463224,0:00:04.377421
G12A2: drink water; brush teeth,Active,Backward,2021-05-25 14:22:46.109399,2021-05-25 14:22:50.120085,0:00:04.010686
G12A2: drink water; brush teeth,Passive,Forward,2021-05-25 14:23:00.323790,2021-05-25 14:23:03.962944,0:00:03.639154
G12A2: drink water; brush teeth,Passive,Backward,2021-05-25 14:23:09.140850,2021-05-25 14:23:12.869451,0:00:03.728601
G13A2: stand up; jump up,Active,Forward,2021-05-25 14:23:58.252511,2021-05-25 14:24:00.424664,0:00:02.172153
G13A2: stand up; jump up,Active,Backward,2021-05-25 14:24:14.284919,2021-05-25 14:24:16.145286,0:00:01.860367
G13A2: stand up; jump up,Passive,Forward,2021-05-25 14:24:26.259178,2021-05-25 14:24:28.435079,0:00:02.175901
G13A2: stand up; jump up,Passive,Backward,2021-05-25 14:24:36.447984,2021-05-25 14:24:39.129226,0:00:02.681242
G14A2: take off a hat; play a phone,Active,Forward,2021-05-25 14:25:15.819836,2021-05-25 14:25:19.114266,0:00:03.294430
G14A2: take off a hat; play a phone,Active,Backward,2021-05-25 14:25:30.030982,2021-05-25 14:25:33.285400,0:00:03.254418
G14A2: take off a hat; play a phone,Passive,Forward,2021-05-25 14:25:46.475421,2021-05-25 14:25:49.704222,0:00:03.228801
G14A2: take off a hat; play a phone,Passive,Backward,2021-05-25 14:25:56.237695,2021-05-25 14:25:59.548148,0:00:03.310453
G15A2: take a selfie; wipe face,Active,Forward,2021-05-25 14:26:28.837861,2021-05-25 14:26:33.116128,0:00:04.278267
G15A2: take a selfie; wipe face,Active,Backward,2021-05-25 14:26:38.532488,2021-05-25 14:26:43.002198,0:00:04.469710
G15A2: take a selfie; wipe face,Passive,Forward,2021-05-25 14:27:10.592639,2021-05-25 14:27:13.788906,0:00:03.196267
G15A2: take a selfie; wipe face,Passive,Backward,2021-05-25 14:27:19.346262,2021-05-25 14:27:24.002674,0:00:04.656412
G16A2: cross hands in front; throat-slitting,Active,Forward,2021-05-25 14:28:04.503962,2021-05-25 14:28:07.305967,0:00:02.802005
G16A2: cross hands in front; throat-slitting,Active,Backward,2021-05-25 14:28:12.638297,2021-05-25 14:28:15.416574,0:00:02.778277
G16A2: cross hands in front; throat-slitting,Passive,Forward,2021-05-25 14:28:21.571056,2021-05-25 14:28:24.381438,0:00:02.810382
G16A2: cross hands in front; throat-slitting,Passive,Backward,2021-05-25 14:28:28.018433,2021-05-25 14:28:31.010286,0:00:02.991853
G17A2: crawling; open bottle,Active,Forward,2021-05-25 14:29:11.316964,2021-05-25 14:29:15.585796,0:00:04.268832
G17A2: crawling; open bottle,Active,Backward,2021-05-25 14:29:24.210963,2021-05-25 14:29:27.710315,0:00:03.499352
G17A2: crawling; open bottle,Passive,Forward,2021-05-25 14:29:40.901989,2021-05-25 14:29:44.729139,0:00:03.827150
G17A2: crawling; open bottle,Passive,Backward,2021-05-25 14:29:50.981656,2021-05-25 14:29:55.219504,0:00:04.237848
G18A2: sneeze; yawn,Active,Forward,2021-05-25 14:30:17.013346,2021-05-25 14:30:20.505241,0:00:03.491895
G18A2: sneeze; yawn,Active,Backward,2021-05-25 14:30:25.844241,2021-05-25 14:30:29.597469,0:00:03.753228
G18A2: sneeze; yawn,Passive,Forward,2021-05-25 14:30:40.014746,2021-05-25 14:30:44.159337,0:00:04.144591
G18A2: sneeze; yawn,Passive,Backward,2021-05-25 14:30:50.092918,2021-05-25 14:30:54.066106,0:00:03.973188
G19A2: self-cutting with knife; take off headphone,Active,Forward,2021-05-25 14:31:40.302094,2021-05-25 14:31:43.539022,0:00:03.236928
G19A2: self-cutting with knife; take off headphone,Active,Backward,2021-05-25 14:31:50.450821,2021-05-25 14:31:54.753738,0:00:04.302917
G19A2: self-cutting with knife; take off headphone,Passive,Forward,2021-05-25 14:32:02.582763,2021-05-25 14:32:06.882798,0:00:04.300035
G19A2: self-cutting with knife; take off headphone,Passive,Backward,2021-05-25 14:32:12.559203,2021-05-25 14:32:16.878045,0:00:04.318842
G20A2: stretch oneself; flick hair,Active,Forward,2021-05-25 14:32:40.291149,2021-05-25 14:32:44.454440,0:00:04.163291
G20A2: stretch oneself; flick hair,Active,Backward,2021-05-25 14:32:50.214137,2021-05-25 14:32:55.366238,0:00:05.152101
G20A2: stretch oneself; flick hair,Passive,Forward,2021-05-25 14:33:02.677141,2021-05-25 14:33:07.568776,0:00:04.891635
G20A2: stretch oneself; flick hair,Passive,Backward,2021-05-25 14:33:12.274000,2021-05-25 14:33:16.445306,0:00:04.171306
G21A2: thumb up; thumb down,Active,Forward,2021-05-25 14:40:02.202928,2021-05-25 14:40:04.927245,0:00:02.724317
G21A2: thumb up; thumb down,Active,Backward,2021-05-25 14:40:09.717225,2021-05-25 14:40:12.413075,0:00:02.695850
G21A2: thumb up; thumb down,Passive,Forward,2021-05-25 14:40:42.735901,2021-05-25 14:40:44.945965,0:00:02.210064
G21A2: thumb up; thumb down,Passive,Backward,2021-05-25 14:40:49.145871,2021-05-25 14:40:51.973801,0:00:02.827930
G22A2: make ok sign; make victory sign,Active,Forward,2021-05-25 14:41:18.170070,2021-05-25 14:41:20.220523,0:00:02.050453
G22A2: make ok sign; make victory sign,Active,Backward,2021-05-25 14:41:24.562885,2021-05-25 14:41:26.779656,0:00:02.216771
G22A2: make ok sign; make victory sign,Passive,Forward,2021-05-25 14:41:33.221535,2021-05-25 14:41:35.319639,0:00:02.098104
G22A2: make ok sign; make victory sign,Passive,Backward,2021-05-25 14:41:39.481169,2021-05-25 14:41:41.823931,0:00:02.342762
G23A2: cutting nails; cutting paper,Active,Forward,2021-05-25 14:42:22.559143,2021-05-25 14:42:25.893985,0:00:03.334842
G23A2: cutting nails; cutting paper,Active,Backward,2021-05-25 14:42:30.652800,2021-05-25 14:42:33.672363,0:00:03.019563
G23A2: cutting nails; cutting paper,Passive,Forward,2021-05-25 14:42:45.575702,2021-05-25 14:42:48.420607,0:00:02.844905
G23A2: cutting nails; cutting paper,Passive,Backward,2021-05-25 14:42:54.475793,2021-05-25 14:42:57.745237,0:00:03.269444
G24A2: squat down; toss a coin,Active,Forward,2021-05-25 14:43:42.454605,2021-05-25 14:43:44.298562,0:00:01.843957
G24A2: squat down; toss a coin,Active,Backward,2021-05-25 14:43:50.399847,2021-05-25 14:43:52.507621,0:00:02.107774
G24A2: squat down; toss a coin,Passive,Forward,2021-05-25 14:43:59.723236,2021-05-25 14:44:01.878410,0:00:02.155174
G24A2: squat down; toss a coin,Passive,Backward,2021-05-25 14:44:06.680457,2021-05-25 14:44:08.352394,0:00:01.671937
G25A2: fold paper; ball up paper,Active,Forward,2021-05-25 14:44:36.079985,2021-05-25 14:44:38.882134,0:00:02.802149
G25A2: fold paper; ball up paper,Active,Backward,2021-05-25 14:44:47.318944,2021-05-25 14:44:51.195401,0:00:03.876457
G25A2: fold paper; ball up paper,Passive,Forward,2021-05-25 14:45:02.924313,2021-05-25 14:45:06.268110,0:00:03.343797
G25A2: fold paper; ball up paper,Passive,Backward,2021-05-25 14:45:14.226672,2021-05-25 14:45:17.342392,0:00:03.115720
G26A2: play magic cube; surrender,Active,Forward,2021-05-25 14:46:19.624922,2021-05-25 14:46:22.452313,0:00:02.827391
G26A2: play magic cube; surrender,Active,Backward,2021-05-25 14:46:29.338452,2021-05-25 14:46:32.500914,0:00:03.162462
G26A2: play magic cube; surrender,Passive,Forward,2021-05-25 14:46:41.674059,2021-05-25 14:46:44.543940,0:00:02.869881
G26A2: play magic cube; surrender,Passive,Backward,2021-05-25 14:46:49.877303,2021-05-25 14:46:52.359961,0:00:02.482658
G27A2: apply cream on face; apply cream on hand,Active,Forward,2021-05-25 14:47:30.088317,2021-05-25 14:47:35.276830,0:00:05.188513
G27A2: apply cream on face; apply cream on hand,Active,Backward,2021-05-25 14:47:42.838434,2021-05-25 14:47:46.749240,0:00:03.910806
G27A2: apply cream on face; apply cream on hand,Passive,Forward,2021-05-25 14:47:56.454615,2021-05-25 14:48:00.398020,0:00:03.943405
G27A2: apply cream on face; apply cream on hand,Passive,Backward,2021-05-25 14:48:06.472801,2021-05-25 14:48:09.860317,0:00:03.387516
G28A2: put on bag; take off bag,Active,Forward,2021-05-25 14:49:02.591661,2021-05-25 14:49:08.887187,0:00:06.295526
G28A2: put on bag; take off bag,Active,Backward,2021-05-25 14:49:19.226357,2021-05-25 14:49:25.452856,0:00:06.226499
G28A2: put on bag; take off bag,Passive,Forward,2021-05-25 14:49:32.510575,2021-05-25 14:49:38.634164,0:00:06.123589
G28A2: put on bag; take off bag,Passive,Backward,2021-05-25 14:49:47.015928,2021-05-25 14:49:52.897701,0:00:05.881773
G29A2: put object into bag; take object out of bag,Active,Forward,2021-05-25 14:50:26.647948,2021-05-25 14:50:32.459379,0:00:05.811431
G29A2: put object into bag; take object out of bag,Active,Backward,2021-05-25 14:50:41.301716,2021-05-25 14:50:45.683391,0:00:04.381675
G29A2: put object into bag; take object out of bag,Passive,Forward,2021-05-25 14:50:53.565215,2021-05-25 14:50:58.668920,0:00:05.103705
G29A2: put object into bag; take object out of bag,Passive,Backward,2021-05-25 14:51:04.401426,2021-05-25 14:51:09.113124,0:00:04.711698
G30A2: open a box; yelling,Active,Forward,2021-05-25 14:51:40.150786,2021-05-25 14:51:44.076864,0:00:03.926078
G30A2: open a box; yelling,Active,Backward,2021-05-25 14:51:52.332268,2021-05-25 14:51:55.323587,0:00:02.991319
G30A2: open a box; yelling,Passive,Forward,2021-05-25 14:52:03.659452,2021-05-25 14:52:06.322034,0:00:02.662582
G30A2: open a box; yelling,Passive,Backward,2021-05-25 14:52:11.491157,2021-05-25 14:52:14.875895,0:00:03.384738
G31A2: arm circles; arm swings,Active,Forward,2021-05-25 14:52:40.667750,2021-05-25 14:52:43.896636,0:00:03.228886
G31A2: arm circles; arm swings,Active,Backward,2021-05-25 14:52:48.706678,2021-05-25 14:52:51.271088,0:00:02.564410
G31A2: arm circles; arm swings,Passive,Forward,2021-05-25 14:52:57.476754,2021-05-25 14:53:00.159787,0:00:02.683033
G31A2: arm circles; arm swings,Passive,Backward,2021-05-25 14:53:04.969446,2021-05-25 14:53:07.298605,0:00:02.329159
G32A2: whisper,Active,Forward,2021-05-25 14:53:46.411046,2021-05-25 14:53:49.950657,0:00:03.539611
G32A2: whisper,Active,Backward,2021-05-25 14:53:55.220788,2021-05-25 14:53:58.449562,0:00:03.228774
G32A2: whisper,Passive,Forward,2021-05-25 14:54:05.409070,2021-05-25 14:54:08.901038,0:00:03.491968
